order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,purchase_frequency,preferred_category,product_name,category,gender
ORD6181,CUST2181,30,PROD1381,Pakistan,9/29/2021,11/27/2023,3,cancelled,1/5/2023,8.3,4,6,Sports,Football,Sports,Male
ORD6536,CUST2536,41,PROD1736,Germany,3/28/2023,9/2/2024,2,active,7/7/2025,184.41,9,41,Sports,Tennis Racket,Sports,Male
ORD5622,CUST1622,23,PROD822,India,1/25/2022,5/28/2022,5,cancelled,8/23/2023,24.21,5,19,Electronics,Microwave,Home,Female
ORD6277,CUST2277,53,PROD1477,USA,3/1/2021,2/26/2024,2,active,1/2/2024,32.62,5,18,Home,Camera,Electronics,Male
ORD5982,CUST1982,67,PROD1182,Pakistan,9/28/2020,9/11/2022,1,cancelled,9/28/2020,58.81,7,46,Clothing,Lipstick,Beauty,Male
ORD6383,CUST2383,67,PROD1583,Germany,4/26/2022,1/7/2025,3,paused,3/4/2024,15.82,8,34,Electronics,Jeans,Clothing,Female
ORD21505,CUST9505,61,PROD527,Canada,9/1/2020,1/22/2025,4,cancelled,11/29/2023,104.36,1,12,Sports,Swim Goggles,Sports,Male
ORD5107,CUST1107,42,PROD307,Germany,10/16/2020,3/8/2022,0,active,7/4/2021,805.84,2,39,Home,Cycling Helmet,Sports,Female
ORD20307,CUST8307,44,PROD511,Germany,10/12/2024,7/31/2025,1,active,10/20/2024,120.42,3,12,Beauty,Jeans,Clothing,Male
ORD6165,CUST2165,55,PROD1365,UK,9/2/2020,4/21/2022,5,active,11/28/2024,408.87,4,31,Home,Moisturizer,Beauty,Male
ORD20783,CUST8783,26,PROD525,India,8/15/2020,3/14/2023,3,cancelled,2/27/2022,14.08,2,9,Clothing,Running Shoes,Sports,Female
ORD21289,CUST9289,67,PROD505,UK,11/27/2023,11/17/2024,2,cancelled,5/8/2024,55.74,4,6,Sports,Smartwatch,Electronics,Female
ORD20141,CUST8141,53,PROD503,Germany,10/15/2024,5/2/2025,1,active,2/27/2025,99.28,3,6,Sports,Headphones,Electronics,Male
ORD5044,CUST1044,47,PROD244,Germany,3/11/2022,12/11/2023,5,cancelled,7/9/2025,654.56,3,48,Beauty,Football,Sports,Male
ORD5184,CUST1184,37,PROD384,USA,7/9/2023,3/7/2025,3,active,10/31/2024,1071.13,1,33,Electronics,Running Shoes,Sports,Male
ORD21596,CUST9596,68,PROD504,USA,11/25/2023,10/18/2024,2,paused,9/22/2024,53.92,4,10,Sports,Camera,Electronics,Female
ORD5038,CUST1038,25,PROD238,Pakistan,2/17/2022,6/29/2023,3,paused,3/13/2022,786.48,2,11,Sports,Basketball,Sports,Female
ORD6078,CUST2078,41,PROD1278,Pakistan,5/17/2022,11/30/2022,1,active,10/19/2024,52.29,9,37,Clothing,Skirt,Clothing,Female
ORD6546,CUST2546,18,PROD1746,India,3/17/2023,7/29/2024,1,paused,9/19/2024,151.42,1,45,Sports,Lamp,Home,Female
ORD20461,CUST8461,57,PROD500,India,10/18/2020,6/11/2025,1,active,11/4/2020,81.72,4,25,Sports,Smartphone,Electronics,Other
ORD5943,CUST1943,38,PROD1143,Germany,3/13/2023,4/4/2023,0,active,9/4/2023,117.48,6,47,Home,Yoga Mat,Sports,Female
ORD6916,CUST2916,39,PROD2116,Germany,9/4/2020,4/26/2025,3,active,8/14/2025,231.08,6,4,Beauty,T-Shirt,Clothing,Male
ORD20440,CUST8440,21,PROD545,USA,9/20/2020,6/6/2025,2,active,10/9/2020,110.7,3,22,Clothing,Shampoo,Beauty,Female
ORD20531,CUST8531,44,PROD526,Canada,2/10/2020,4/15/2025,1,active,9/29/2022,140.59,3,26,Beauty,Tennis Racket,Sports,Female
ORD20153,CUST8153,42,PROD500,Canada,5/10/2025,7/4/2025,0,active,5/31/2025,138.66,1,5,Sports,Smartphone,Electronics,Female
ORD6786,CUST2786,61,PROD1986,USA,7/11/2023,11/8/2023,3,active,12/15/2023,165.18,8,19,Home,Refrigerator,Home,Female
ORD19186,CUST7186,22,PROD513,UK,10/31/2020,7/14/2025,0,active,10/13/2022,486.93,7,48,Electronics,Jacket,Clothing,Female
ORD6683,CUST2683,55,PROD1883,USA,2/5/2023,4/21/2025,4,active,4/18/2024,86.01,5,48,Home,Laptop,Electronics,Male
ORD19087,CUST7087,68,PROD500,Canada,4/1/2022,5/7/2025,1,active,5/17/2022,322.08,6,34,Clothing,Smartphone,Electronics,Male
ORD5386,CUST1386,34,PROD586,India,10/27/2022,3/3/2023,3,cancelled,2/13/2024,193.43,8,23,Sports,Running Shoes,Sports,Male
ORD5517,CUST1517,41,PROD717,USA,3/12/2023,9/5/2023,3,cancelled,11/14/2023,116.18,6,20,Beauty,Dress,Clothing,Male
ORD21495,CUST9495,32,PROD515,Germany,3/2/2020,9/30/2024,2,cancelled,2/25/2024,99.52,3,12,Sports,Hoodie,Clothing,Female
ORD19579,CUST7579,54,PROD516,Pakistan,1/19/2022,3/16/2025,0,active,6/8/2024,130.34,6,24,Clothing,Skirt,Clothing,Other
ORD20393,CUST8393,30,PROD545,India,9/12/2019,3/5/2025,1,active,4/1/2024,105.28,3,18,Home,Shampoo,Beauty,Male
ORD19571,CUST7571,42,PROD505,Germany,3/17/2019,3/26/2025,0,active,3/20/2025,140.94,4,38,Sports,Smartwatch,Electronics,Male
ORD20864,CUST8864,36,PROD521,UK,8/29/2021,12/11/2023,3,cancelled,8/1/2023,36.49,2,9,Beauty,Dumbbells,Sports,Male
ORD19994,CUST7994,52,PROD530,Canada,10/5/2019,5/28/2025,1,active,2/4/2024,224.6,2,28,Beauty,Refrigerator,Home,Female
ORD19841,CUST7841,44,PROD547,UK,6/26/2020,6/2/2025,1,active,5/21/2022,205.57,5,20,Clothing,Sunscreen,Beauty,Female
ORD5766,CUST1766,38,PROD966,UK,3/4/2023,4/28/2025,4,cancelled,12/10/2024,604.99,3,5,Clothing,Blender,Home,Male
ORD21496,CUST9496,22,PROD504,Pakistan,12/29/2023,6/23/2024,3,cancelled,3/25/2024,61.93,4,6,Sports,Camera,Electronics,Female
ORD6970,CUST2970,33,PROD2170,India,8/10/2022,8/3/2024,1,cancelled,6/3/2025,91.9,9,23,Home,Perfume,Beauty,Male
ORD21387,CUST9387,38,PROD543,India,5/15/2022,1/26/2025,2,cancelled,11/6/2024,98.9,1,16,Beauty,Conditioner,Beauty,Female
ORD21464,CUST9464,45,PROD512,India,2/14/2020,6/3/2024,4,cancelled,2/17/2023,82.0,4,18,Home,Dress,Clothing,Female
ORD6946,CUST2946,64,PROD2146,UK,5/8/2021,11/21/2023,2,active,12/31/2023,382.88,3,1,Electronics,Running Shoes,Sports,Female
ORD19760,CUST7760,18,PROD510,Pakistan,9/18/2019,4/23/2025,2,active,10/21/2023,248.59,5,21,Electronics,T-Shirt,Clothing,Female
ORD6752,CUST2752,59,PROD1952,Canada,2/22/2022,1/29/2024,5,active,10/11/2022,397.85,3,24,Clothing,Bluetooth Speaker,Electronics,Female
ORD6749,CUST2749,50,PROD1949,UK,11/28/2021,4/11/2022,0,active,3/16/2022,411.67,1,25,Clothing,Lamp,Home,Male
ORD20172,CUST8172,46,PROD503,India,7/21/2025,5/4/2025,0,active,7/21/2025,65.9,4,10,Home,Headphones,Electronics,Female
ORD19133,CUST7133,32,PROD526,Germany,8/10/2023,5/31/2025,0,active,4/21/2024,250.08,7,44,Home,Tennis Racket,Sports,Female
ORD21063,CUST9063,34,PROD540,Canada,1/8/2021,10/6/2023,3,cancelled,7/10/2022,19.6,1,7,Sports,Perfume,Beauty,Male
ORD20063,CUST8063,24,PROD506,USA,3/25/2020,3/10/2025,2,active,8/4/2022,260.83,2,21,Clothing,Monitor,Electronics,Male
ORD20793,CUST8793,27,PROD525,USA,5/20/2023,9/24/2023,4,cancelled,6/16/2023,47.68,3,4,Electronics,Running Shoes,Sports,Male
ORD19078,CUST7078,68,PROD503,USA,5/29/2021,6/7/2025,1,active,5/29/2021,253.54,5,30,Clothing,Headphones,Electronics,Male
ORD20854,CUST8854,30,PROD541,Germany,9/27/2022,5/27/2024,4,cancelled,6/12/2023,44.72,2,10,Beauty,Face Wash,Beauty,Female
ORD5360,CUST1360,48,PROD560,India,8/1/2023,7/31/2024,5,active,6/29/2024,146.28,4,36,Beauty,Sneakers,Clothing,Female
ORD21140,CUST9140,38,PROD543,Pakistan,3/31/2019,2/3/2024,3,cancelled,2/1/2022,53.86,1,5,Clothing,Conditioner,Beauty,Female
ORD21011,CUST9011,28,PROD544,Germany,12/1/2023,10/6/2023,4,cancelled,12/1/2023,70.57,3,2,Sports,Moisturizer,Beauty,Female
ORD5659,CUST1659,56,PROD859,Canada,9/29/2020,1/20/2025,4,active,7/6/2021,467.28,2,34,Sports,Face Wash,Beauty,Female
ORD21870,CUST9870,49,PROD500,India,3/4/2019,9/20/2024,1,paused,6/22/2021,120.94,5,24,Home,Smartphone,Electronics,Female
ORD6275,CUST2275,58,PROD1475,India,8/17/2022,8/3/2025,4,active,7/11/2025,29.84,5,12,Electronics,Chair,Home,Male
ORD20628,CUST8628,28,PROD510,Pakistan,6/7/2023,3/3/2024,3,cancelled,10/8/2023,63.23,1,1,Electronics,T-Shirt,Clothing,Female
ORD21826,CUST9826,23,PROD502,Pakistan,12/22/2022,10/19/2024,2,paused,3/10/2024,44.74,1,22,Sports,Tablet,Electronics,Female
ORD21509,CUST9509,44,PROD516,Pakistan,1/10/2019,9/25/2024,4,cancelled,4/14/2023,22.83,4,8,Sports,Skirt,Clothing,Female
ORD19936,CUST7936,23,PROD523,Germany,1/14/2019,6/27/2025,0,active,11/24/2022,153.94,4,26,Clothing,Cricket Bat,Sports,Male
ORD21286,CUST9286,47,PROD500,India,1/9/2022,7/24/2024,3,cancelled,2/5/2024,32.28,1,5,Home,Smartphone,Electronics,Female
ORD6559,CUST2559,57,PROD1759,Germany,10/26/2022,8/9/2025,5,active,8/17/2025,143.16,8,12,Electronics,Nail Polish,Beauty,Female
ORD20023,CUST8023,60,PROD540,USA,2/27/2022,3/28/2025,0,active,5/31/2022,89.51,7,43,Clothing,Perfume,Beauty,Male
ORD21794,CUST9794,65,PROD545,Pakistan,6/26/2023,7/26/2024,1,paused,3/18/2024,67.96,4,18,Home,Shampoo,Beauty,Female
ORD19375,CUST7375,55,PROD516,India,5/7/2021,6/18/2025,1,active,5/4/2023,200.54,5,50,Beauty,Skirt,Clothing,Female
ORD21692,CUST9692,46,PROD502,Germany,5/5/2020,11/17/2024,1,paused,12/22/2022,178.17,1,25,Sports,Tablet,Electronics,Female
ORD19098,CUST7098,53,PROD511,India,1/5/2022,7/2/2025,0,active,9/10/2024,551.53,4,35,Beauty,Jeans,Clothing,Female
ORD6119,CUST2119,23,PROD1319,USA,6/8/2022,5/4/2024,1,active,4/14/2024,141.45,9,37,Sports,Tennis Racket,Sports,Female
ORD20508,CUST8508,19,PROD542,UK,5/13/2023,6/13/2025,1,active,2/13/2025,82.81,1,13,Clothing,Nail Polish,Beauty,Male
ORD20823,CUST8823,50,PROD521,Germany,7/14/2019,9/28/2023,3,cancelled,12/16/2020,42.6,2,11,Home,Dumbbells,Sports,Female
ORD6552,CUST2552,65,PROD1752,Pakistan,3/1/2021,11/12/2021,0,active,1/17/2022,101.16,7,21,Beauty,Shampoo,Beauty,Male
ORD20562,CUST8562,22,PROD506,USA,5/20/2020,7/2/2023,3,cancelled,5/28/2021,42.41,2,8,Sports,Monitor,Electronics,Other
ORD20927,CUST8927,21,PROD515,Canada,9/21/2019,2/14/2024,5,cancelled,10/14/2023,39.76,1,7,Beauty,Hoodie,Clothing,Male
ORD20290,CUST8290,59,PROD530,USA,5/29/2025,4/7/2025,1,active,5/29/2025,159.44,2,12,Beauty,Refrigerator,Home,Female
ORD20800,CUST8800,65,PROD515,India,3/28/2019,10/21/2023,4,cancelled,4/22/2019,53.4,1,11,Clothing,Hoodie,Clothing,Male
ORD19171,CUST7171,62,PROD531,Canada,4/12/2019,4/28/2025,0,active,3/1/2023,299.84,7,46,Clothing,Vacuum Cleaner,Home,Female
ORD5878,CUST1878,66,PROD1078,Germany,4/29/2022,7/31/2023,2,paused,5/21/2023,51.37,7,38,Home,Dumbbells,Sports,Male
ORD19214,CUST7214,60,PROD512,USA,5/14/2019,7/10/2025,1,active,7/7/2022,454.06,8,54,Electronics,Dress,Clothing,Male
ORD5962,CUST1962,56,PROD1162,USA,10/31/2021,7/25/2025,0,active,8/19/2024,469.18,3,12,Electronics,Smartwatch,Electronics,Male
ORD5581,CUST1581,65,PROD781,UK,5/23/2022,3/21/2023,1,active,7/16/2023,1276.55,1,48,Clothing,T-Shirt,Clothing,Male
ORD5355,CUST1355,50,PROD555,Pakistan,11/19/2020,11/28/2022,0,cancelled,6/24/2024,219.47,6,38,Electronics,Football,Sports,Male
ORD20264,CUST8264,23,PROD514,USA,2/18/2025,5/9/2025,1,active,3/20/2025,146.9,5,20,Electronics,Sneakers,Clothing,Female
ORD20717,CUST8717,26,PROD537,USA,5/4/2020,9/1/2023,4,cancelled,12/9/2021,77.55,2,12,Home,Iron,Home,Female
ORD19007,CUST7007,44,PROD512,Germany,10/22/2019,7/9/2025,1,active,10/4/2021,569.65,8,54,Home,Dress,Clothing,Male
ORD6290,CUST2290,24,PROD1490,Pakistan,6/18/2022,5/29/2024,3,paused,3/1/2023,51.56,6,27,Home,Dining Table,Home,Female
ORD19949,CUST7949,22,PROD541,Pakistan,3/14/2023,6/10/2025,0,active,9/23/2024,203.84,3,37,Sports,Face Wash,Beauty,Female
ORD5188,CUST1188,20,PROD388,Pakistan,5/25/2021,10/10/2024,0,active,9/14/2024,689.37,2,34,Beauty,Microwave,Home,Female
ORD19497,CUST7497,26,PROD524,USA,7/2/2019,4/24/2025,0,active,11/12/2024,221.59,3,40,Beauty,Cycling Helmet,Sports,Female
ORD21460,CUST9460,57,PROD547,Pakistan,7/8/2023,6/27/2024,4,cancelled,7/16/2023,62.32,2,15,Electronics,Sunscreen,Beauty,Male
ORD21254,CUST9254,50,PROD517,Canada,6/11/2021,9/19/2024,2,cancelled,9/11/2021,82.22,1,14,Home,Coat,Clothing,Female
ORD19308,CUST7308,59,PROD526,UK,8/13/2019,5/3/2025,1,active,1/4/2022,289.69,7,47,Clothing,Tennis Racket,Sports,Female
ORD19601,CUST7601,53,PROD510,Canada,7/3/2023,7/12/2025,0,active,4/1/2025,284.71,7,20,Beauty,T-Shirt,Clothing,Male
ORD20402,CUST8402,47,PROD545,Germany,11/26/2020,5/21/2025,2,active,6/22/2022,118.65,3,19,Home,Shampoo,Beauty,Female
ORD6993,CUST2993,23,PROD2193,Pakistan,11/28/2020,8/9/2021,3,active,5/20/2025,54.05,9,29,Clothing,Dining Table,Home,Female
ORD21772,CUST9772,21,PROD544,Pakistan,9/2/2022,12/18/2024,3,paused,11/9/2022,73.05,5,14,Sports,Moisturizer,Beauty,Female
ORD21547,CUST9547,23,PROD514,India,3/19/2022,7/23/2024,3,cancelled,10/1/2022,81.4,1,15,Home,Sneakers,Clothing,Female
ORD6551,CUST2551,40,PROD1751,Canada,9/9/2022,11/28/2023,0,cancelled,6/14/2025,84.45,8,31,Beauty,Chair,Home,Male
ORD20620,CUST8620,19,PROD504,India,3/3/2021,6/24/2023,3,cancelled,9/28/2021,69.03,1,6,Clothing,Camera,Electronics,Male
ORD21130,CUST9130,38,PROD506,USA,8/4/2023,6/17/2023,5,cancelled,8/4/2023,18.89,1,8,Sports,Monitor,Electronics,Female
ORD5748,CUST1748,37,PROD948,India,4/10/2022,3/28/2025,2,active,7/18/2022,107.87,9,31,Home,Microwave,Home,Female
ORD19885,CUST7885,36,PROD510,India,5/9/2022,5/25/2025,0,active,1/27/2025,86.06,4,25,Home,T-Shirt,Clothing,Female
ORD19370,CUST7370,36,PROD542,Pakistan,1/3/2020,7/23/2025,1,active,11/12/2023,256.18,9,35,Sports,Nail Polish,Beauty,Male
ORD5707,CUST1707,44,PROD907,USA,5/6/2022,10/10/2023,1,cancelled,4/20/2024,73.97,7,46,Sports,Lipstick,Beauty,Female
ORD6913,CUST2913,45,PROD2113,Pakistan,2/4/2021,6/6/2022,4,paused,5/23/2024,343.73,1,23,Beauty,Face Wash,Beauty,Male
ORD20871,CUST8871,29,PROD500,Germany,11/12/2019,8/29/2023,5,cancelled,8/28/2020,72.89,1,12,Beauty,Smartphone,Electronics,Female
ORD5992,CUST1992,26,PROD1192,Pakistan,2/13/2022,2/15/2024,1,cancelled,8/16/2025,139.94,3,33,Home,Perfume,Beauty,Other
ORD5053,CUST1053,51,PROD253,Canada,10/5/2020,8/16/2021,4,cancelled,4/3/2025,323.04,3,8,Beauty,Nail Polish,Beauty,Female
ORD21724,CUST9724,52,PROD531,India,1/27/2019,9/10/2024,1,paused,10/1/2023,55.08,4,8,Electronics,Vacuum Cleaner,Home,Female
ORD21890,CUST9890,65,PROD536,Germany,5/13/2020,1/3/2025,1,paused,12/4/2023,146.02,2,16,Beauty,Microwave,Home,Male
ORD20239,CUST8239,20,PROD513,Germany,10/22/2024,3/15/2025,0,active,12/28/2024,128.69,1,13,Electronics,Jacket,Clothing,Female
ORD19202,CUST7202,18,PROD546,Germany,8/6/2023,6/30/2025,1,active,10/21/2023,453.54,9,41,Beauty,Lip Balm,Beauty,Male
ORD19431,CUST7431,40,PROD525,Pakistan,7/30/2022,6/23/2025,1,active,8/14/2022,545.63,9,52,Home,Running Shoes,Sports,Female
ORD6487,CUST2487,56,PROD1687,Canada,9/8/2020,5/21/2023,3,active,3/30/2022,348.65,5,24,Electronics,Foundation,Beauty,Male
ORD19799,CUST7799,48,PROD514,USA,7/27/2021,6/20/2025,0,active,5/2/2024,201.74,5,28,Home,Sneakers,Clothing,Male
ORD21243,CUST9243,54,PROD500,Germany,3/30/2021,10/25/2024,2,cancelled,7/5/2021,85.86,1,9,Electronics,Smartphone,Electronics,Male
ORD21462,CUST9462,34,PROD513,USA,3/30/2019,9/19/2024,4,cancelled,6/29/2022,115.02,3,12,Sports,Jacket,Clothing,Female
ORD6725,CUST2725,26,PROD1925,Canada,5/4/2021,6/13/2021,5,cancelled,3/14/2023,164.04,8,13,Home,Shirt,Clothing,Male
ORD6329,CUST2329,30,PROD1529,USA,10/12/2022,5/2/2023,4,active,9/24/2023,1629.13,1,35,Clothing,Camera,Electronics,Female
ORD6919,CUST2919,22,PROD2119,Canada,4/6/2021,7/22/2021,2,paused,4/10/2024,88.49,7,34,Clothing,Dumbbells,Sports,Female
ORD5344,CUST1344,21,PROD544,USA,4/14/2021,6/23/2025,0,active,7/14/2025,6.45,7,37,Clothing,Moisturizer,Beauty,Male
ORD6787,CUST2787,29,PROD1987,Canada,11/14/2022,10/14/2023,4,active,11/28/2024,65.76,7,5,Electronics,Running Shoes,Sports,Male
ORD5802,CUST1802,19,PROD1002,UK,11/15/2022,7/15/2025,1,active,5/24/2023,584.12,2,38,Clothing,Nail Polish,Beauty,Male
ORD21194,CUST9194,61,PROD540,UK,9/4/2020,10/2/2024,4,cancelled,3/10/2022,96.25,1,16,Sports,Perfume,Beauty,Female
ORD20542,CUST8542,26,PROD535,UK,10/16/2022,4/22/2025,1,active,4/28/2023,126.68,1,10,Home,Desk Lamp,Home,Female
ORD21179,CUST9179,66,PROD537,India,1/8/2020,7/22/2024,4,cancelled,9/23/2023,29.45,3,14,Clothing,Iron,Home,Female
ORD21856,CUST9856,42,PROD512,Pakistan,7/7/2022,9/13/2024,2,paused,12/4/2023,226.51,3,27,Electronics,Dress,Clothing,Male
ORD20545,CUST8545,38,PROD533,Canada,6/4/2021,3/4/2025,1,active,4/8/2022,40.39,3,19,Electronics,Blender,Home,Male
ORD19942,CUST7942,40,PROD545,UK,9/9/2020,4/21/2025,1,active,2/22/2023,127.78,2,23,Beauty,Shampoo,Beauty,Female
ORD6542,CUST2542,40,PROD1742,Canada,12/30/2021,10/22/2024,4,cancelled,1/7/2025,226.27,8,15,Home,Skirt,Clothing,Male
ORD6933,CUST2933,46,PROD2133,Canada,7/13/2022,1/1/2025,0,active,10/29/2024,460.48,3,8,Sports,Bluetooth Speaker,Electronics,Male
